TEXT
-3100	2101
3919	1819
9188	1113
10261	639
6584	589
-348	409
-7734	-730
-12706	-3039
-13484	-5550
-10013	-6469
-3868	-4352
2504	664
6866	6518
8126	10188
6702	9473
4103	4481
1940	-2196
911	-6817
387	-6595
-1090	-1301
-4670	6578
-10130	13216
-15674	15496
-18824	12571
-17936	6108
-13360	-784
-7404	-5237
-3028	-5981
-2062	-3730
-4100	-566
-6861	1270
-7793	518
-5856	-2507
-2235	-6097
539	-7991
483	-6518
-2273	-1549
-5374	5228
-5757	10950
-1788	12924
5450	10080
12647	3708
16247	-3041
14618	-6739
8961	-5545
2384	-252
-2151	6148
-3586	10193
-3027	9936
-2448	5993
-2895	1014
-3571	-2059
-2525	-1778
1588	1110
8041	4444
14047	6276
16387	6165
13569	5227
6960	4981
24	5897
-3917	6789
-3852	5568
-1678	884
-733	-6535
-3275	-13846
-8647	-17523
-13498	-15397
-13998	-8009
-8594	1565
567	9319
8639	12315
10940	9940
5921	3786
-3689	-3535
-12325	-9772
-14757	-13771
-9081	-15358
2267	-14753
13972	-12147
20818	-7777
20369	-2331
13868	2833
5070	5992
-2058	5826
-5312	2160
-4847	-3811
-2349	-10008
387	-14358
2467	-15577
3953	-13474
5175	-8769
6022	-2695
5808	3303
3814	7739
44	9287
-4422	7191
-7811	1786
-8574	-5223
-6267	-11105
-1850	-13146
2776	-9930
5693	-2173
5836	7464
3359	15543
-583	19418
-4419	18321
-6770	13445
-6834	7079
-4522	1405
-416	-2311
4369	-3800
8419	-3355
10413	-1362
9605	1776
6221	5391
1510	8356
-2694	9353
-4757	7610
-4015	3632
-1093	-686
2445	-2881
4926	-1321
5432	3641
4204	9587
2380	13229
1260	12265
1575	6813
3180	-519
5296	-6035
7063	-7035
7994	-3341
8055	2661
7407	7494
6108	8656
4065	6036
1311	1821
-1670	-990
-3900	-504
-4345	2945
-2600	7120
621	9391
3648	8412
4695	4873
2948	891
-789	-1482
-4352	-1594
-5347	-457
-2525	189
3390	-684
9946	-2518
14155	-3529
14000	-2065
9414	1992
2263	6835
-4618	9731
-8747	8812
-9020	4429
-5993	-905
-1434	-4039
2538	-3217
4313	748
3342	4996
254	6508
-3438	4126
-5977	-703
-6137	-4939
-3855	-6060
-372	-3776
2303	-163
2472	1876
-162	727
-4073	-2754
-6581	-5867
-5370	-6047
-47	-2789
7300	1894
13033	4841
14026	3997
9650	-83
2425	-4569
-3218	-6324
-3462	-4101
2576	611
12147	4725
20301	5848
22630	4051
17710	1810
7785	2100
-2630	6052
-9322	11879
-10536	15963
-7497	15380
-3170	10094
-233	3198
390	-1048
-396	-93
-1006	5106
-580	10636
364	12176
406	7850
-1618	-537
-5669	-8658
-10424	-12388
-14050	-10261
-15251	-4095
-13875	2440
-10769	6195
-7126	6227
-3866	3807
-1427	1056
18	-644
288	-1291
-820	-1703
-3276	-2437
-6548	-3164
-9674	-3015
-11692	-1516
-12163	771
-11360	2501
-9963	2531
-8479	829
-6867	-1476
-4685	-2997
-1658	-3229
1801	-2994
4632	-3780
5781	-6449
5035	-10360
3363	-13654
2391	-14543
3276	-12646
5756	-9307
8118	-6591
8214	-5714
4906	-6128
-1039	-6039
-7274	-3996
-11247	-313
-11707	2858
-9335	3011
-6051	-737
-3524	-6672
-1958	-11387
-45	-12001
3855	-8138
10153	-2162
17240	2539
22105	3979
22033	2898
16299	1933
6738	3276
-3182	6620
-10197	9111
-12829	7507
-11810	1000
-9215	-7495
-7004	-12819
-5964	-11030
-5606	-2439
-4908	8037
-3221	13764
-693	10690
1974	175
4109	-11724
5465	-18124
6174	-15813
6398	-7281
6084	1082
5079	3415
3500	-1630
1963	-10056
1357	-15392
2245	-13216
4305	-4197
6310	6406
6770	12356
4856	10603
982	3134
-3393	-4636
-6626	-7681
-7820	-4658
-7197	1534
-5681	6121
-4072	5891
-2470	1240
-408	-4498
2423	-7724
5503	-7190
7478	-4644
6957	-3210
3593	-4859
-1382	-8909
